TAZ,TAZ1454
465,355.0
429,355.0
494,355.0
519,355.0
520,355.0
461,354.0
428,354.0
448,354.0
450,354.0
449,354.0
530,354.0
531,354.0
509,353.0
510,352.0
219,368.0
455,368.0
453,368.0
220,368.0
476,368.0
454,368.0
208,385.0
79,385.0
78,385.0
83,512.0
84,512.0
634,688.0
633,688.0
632,688.0
639,692.0
612,693.0
697,693.0
642,695.0
826,695.0
640,691.0
641,691.0
818,696.0
696,696.0
695,696.0
693,696.0
694,696.0
706,696.0
810,696.0
817,696.0
921,694.0
638,689.0
637,689.0
635,690.0
636,690.0
740,656.0
737,656.0
738,656.0
739,656.0
735,656.0
741,656.0
837,656.0
643,657.0
673,657.0
675,657.0
674,657.0
654,680.0
652,680.0
653,680.0
651,680.0
678,674.0
677,674.0
680,674.0
549,674.0
685,675.0
684,675.0
683,675.0
687,676.0
689,676.0
811,676.0
691,676.0
692,676.0
690,676.0
930,670.0
933,670.0
929,669.0
657,669.0
928,672.0
649,672.0
646,671.0
645,671.0
644,671.0
659,668.0
658,668.0
661,666.0
660,667.0
545,679.0
655,679.0
546,679.0
656,679.0
880,678.0
927,678.0
647,673.0
648,673.0
686,677.0
688,677.0
681,677.0
682,677.0
676,664.0
924,664.0
925,665.0
926,665.0
679,663.0
923,662.0
666,660.0
668,660.0
809,660.0
808,660.0
667,660.0
827,660.0
544,661.0
665,661.0
662,661.0
664,661.0
663,661.0
922,661.0
669,659.0
670,659.0
671,658.0
672,658.0
85,697.0
41,697.0
40,697.0
573,697.0
572,697.0
571,697.0
574,697.0
565,697.0
566,697.0
564,697.0
570,697.0
563,697.0
567,697.0
734,697.0
559,697.0
568,697.0
569,697.0
560,697.0
561,697.0
562,697.0
736,697.0
821,697.0
822,697.0
823,697.0
824,697.0
825,697.0
851,697.0
852,697.0
853,697.0
854,697.0
855,697.0
856,697.0
857,697.0
858,697.0
859,697.0
860,697.0
861,697.0
862,697.0
863,697.0
864,697.0
865,697.0
797,704.0
339,700.0
327,700.0
349,700.0
358,700.0
348,700.0
354,700.0
350,700.0
332,700.0
336,700.0
329,703.0
357,703.0
356,703.0
355,703.0
335,703.0
344,702.0
343,702.0
328,702.0
325,702.0
330,702.0
340,702.0
342,702.0
346,702.0
341,702.0
345,702.0
337,701.0
326,701.0
351,701.0
338,698.0
333,698.0
334,698.0
352,698.0
347,699.0
48,699.0
38,699.0
353,699.0
68,712.0
183,712.0
69,712.0
71,712.0
72,712.0
185,712.0
70,712.0
73,712.0
63,712.0
67,712.0
50,712.0
55,712.0
46,712.0
59,712.0
56,712.0
58,712.0
66,712.0
184,712.0
54,713.0
60,713.0
61,713.0
331,713.0
62,713.0
74,713.0
49,713.0
